publication_id,concept,detected,regex_matches,manual_override
P01,LLM / conversational AI,True,Large Language Model | LLM | LLMs,
P01,LMM / multimodal AI,True,LMM | LMMs | LMMs | LMMs,
P01,Document retrieval / RAG,True,Document Retrieval | Document Retrieval,
P01,Chemistry / spectroscopy,True,NMR,
P02,LMM / multimodal AI,True,LMM | LMMs | LMMs | LMMs | LMMs | LMMs,
P02,Machine learning / optimization,True,machine learning,
P02,Chemistry / spectroscopy,True,Organic Compound | organic compound | molecular formula | organic compound | NMR | NMR | NMR | chemical structure | molecular formula,
P02,Cost / efficiency,True,speed | time,
P03,LLM / conversational AI,True,conversational AI | LLMs | LLMs,
P03,LMM / multimodal AI,True,LMMs | LMMs | LMMs | LMM,
P03,Chemistry / spectroscopy,True,Organic Compound | organic compound | molecular formula | NMR | chemical structure | IR | NMR | NMR | NMR,
P03,Drug compounds / discovery / synergy,True,drug compound,
P04,LLM / conversational AI,True,conversational AI | LLMs,
P04,LMM / multimodal AI,True,LMMs,
P04,Chemistry / spectroscopy,True,Paclitaxel Biosynthesis | biosynthesis | paclitaxel biosynthesis | paclitaxel biosynthesis | paclitaxel biosynthesis,
P04,Regulatory / compliance,False,regulatory,False
P04,Cost / efficiency,True,time | faster | time | faster | time | faster | speed,
P04,Drug compounds / discovery / synergy,True,Paclitaxel | Paclitaxel | drug compound | paclitaxel | paclitaxel | paclitaxel | paclitaxel,
P05,LLM / conversational AI,True,Conversational Artificial Intelligence | conversational AI | Large Language Model | LLM | LLM | LLMs | LLMs | LLMs,
P05,Document retrieval / RAG,True,document retrieval | document retrieval,
P05,Machine learning / optimization,True,dimension reduction | combinatorial optimization | monte carlo | markov chain | dimension reduction | combinatorial optimization | monte carlo | markov chain | reinforcement learning | bayesian optimization | machine learning,
P05,mAb / bioprocess,True,Bioprocess | mAb | bioprocess | mAb | mAb | bioprocess,
P05,Cost / efficiency,True,faster | time | faster | speed | time,
P06,LLM / conversational AI,True,Conversational AI | LLMs | LLMs | LLM | conversational AI,
P06,Document retrieval / RAG,True,document retrieval,
P06,mAb / bioprocess,True,mAb | Bioprocess | Bioprocess | mAb | bioprocess | bioprocess | mAb | bioprocess,
P06,Patient matching / decision support,False,,False
P06,Cost / efficiency,True,time | speed | speed,
P07,LLM / conversational AI,True,Conversational Artificial Intelligence | Large Language Model | LLM | LLM | Conversational AI,
P07,Agentic / code generation,True,code generation,
P07,Document retrieval / RAG,True,retrieval,
P07,Cost / efficiency,False,TIME | TIME,False
P08,LLM / conversational AI,True,LLMs | LLMs | reasoning model | LLMs | LLM,
P08,Clinical trials,True,clinical trial,
P08,mAb / bioprocess,True,Bevacizumab | Bevacizumab | Bevacizumab,
P08,Patient matching / decision support,True,Clinical decision support | clinical decision support,
P08,Cost / efficiency,True,time,
P09,LLM / conversational AI,True,LLM | LLMs | LLM,
P09,Clinical trials,True,clinical trials | clinical trial | clinical trial,
P09,mAb / bioprocess,True,mAb | mAb | bevacizumab | mAb,
P09,Cost / efficiency,True,Cost | containment | cost | cost | economic | cost,
P10,LLM / conversational AI,True,LLM | LLM | Large Language Model | LLM | reasoning model,
P10,Agentic / code generation,True,Agent | agent,
P10,Cost / efficiency,True,cost | economic,
P11,LLM / conversational AI,True,LLMs | LLM | LLM,
P11,Clinical trials,True,clinical trial,
P11,Lung adenocarcinoma,True,lung adenocarcinoma | lung adenocarcinoma | lung adenocarcinoma | lung adenocarcinoma,
P11,Patient matching / decision support,True,clinical decision support,
P12,Agentic / code generation,True,Autonomous AI,
P12,Clinical trials,True,Clinical Trial | clinical trial | clinical trials | clinical trial | clinical trial | clinical trials | clinical trial | clinical trial | clinical trial,
P12,Glioblastoma,True,Glioblastoma | glioblastoma | glioblastoma | Glioblastoma | glioblastoma | glioblastoma | glioblastoma | Glioblastoma,
P12,Regulatory / compliance,True,FDA,
P12,Patient safety / adverse events,True,adverse events | adverse events,
P12,Cost / efficiency,True,time | time | cost,
P13,Simulation / digital twin,True,Digital Twin | digital twin | digital twin | digital twin,
P13,VVUQ / assurance,True,verification | verification | verification | verification,
P13,MCP / API infrastructure,True,platform,
P13,Clinical trials,True,Clinical Trial | clinical trial | Phase I | Phase II,
P13,PDAC / pancreatic cancer,True,Pancreatic Ductal Adenocarcinoma | pancreatic ductal adenocarcinoma | PDAC | PDAC | pancreatic cancer | PDAC,
P13,Cost / efficiency,True,funding | time | time | funding,
P13,Drug compounds / discovery / synergy,True,Daraxonrasib | daraxonrasib | Daraxonrasib,
P14,Simulation / digital twin,True,In Silico,
P14,VVUQ / assurance,True,validation | validation | validation,
P14,Clinical trials,True,Phase III | Clinical Trial | Phase III | clinical trial | clinical trial | Phase II | Phase III | clinical trial | Phase II | Phase III | clinical trial | Phase III,
P14,PDAC / pancreatic cancer,True,Pancreatic Cancer | pancreatic ductal adenocarcinoma | PDAC,
P14,Regulatory / compliance,True,ICH,
P14,Cost / efficiency,True,Time | cost,
P14,Drug compounds / discovery / synergy,True,Daraxonrasib | Daraxonrasib | Daraxonrasib,
P15,Simulation / digital twin,True,QSP | Simulation | QSP | quantitative systems pharmacology | QSP | simulation | QSP | QSP | QSP | QSP | QSP,
P15,VVUQ / assurance,True,VVUQ | VVUQ | verification | validation | uncertainty quantification | Uncertainty quantification | VVUQ | VVUQ,
P15,MCP / API infrastructure,True,platform,
P15,Clinical trials,True,Clinical Trial | clinical trial | trial protocol | Phase II | Phase II | Phase III | Phase II,
P15,PDAC / pancreatic cancer,True,Pancreatic Cancer | pancreatic cancer | pancreatic cancer,
P15,Patient safety / adverse events,True,adverse events | Adverse Events,
P15,Cost / efficiency,True,time | time | time | costs | cost | cost | time | time,
P16,Simulation / digital twin,True,in silico | Digital Twin | Simulation | digital twin | digital twin | QSP,
P16,VVUQ / assurance,True,verification | validation | uncertainty quantification | Validation | validation | Verification | verification | validation | validation,
P16,MCP / API infrastructure,True,platform | platform,
P16,Clinical trials,True,Clinical Trials | Phase II | Phase II,
P16,PDAC / pancreatic cancer,True,Pancreatic Cancer | PDAC | PDAC,
P16,Regulatory / compliance,True,FDA | Compliance | FDA | regulatory | IRB | regulatory | FDA,
P16,Patient safety / adverse events,True,safety | patient safety | safety,
P16,Patient matching / decision support,True,eligibility | eligibility,
P16,Cost / efficiency,True,Cost | time | cost,
P16,Legislation / policy,False,policy,False
P17,LLM / conversational AI,True,LLM | LLMs | LLM | LLM | LLM | LLM | LLM | LLM | LLMs | LLM | LLM,
P17,Agentic / code generation,True,code generation,
P17,Clinical trials,True,Clinical Trial | Phase III | clinical trials | Phase III | clinical trials,
P17,Glioblastoma,True,glioblastoma,
P17,Regulatory / compliance,True,FDA | ICH | FDA | NDA | FDA | regulatory | FDA,
P17,Cost / efficiency,True,cost | time | cost | cost | cost | faster | cost,
P17,Drug compounds / discovery / synergy,True,drug discovery,
P18,LLM / conversational AI,True,LLM | LLMs | LLM | LLM | LLMs | LLMs | LLM | LLM | LLMs | LLM | LLM | LLM,
P18,Agentic / code generation,True,code generation | agentic,
P18,Document retrieval / RAG,True,retrieval,
P18,Machine learning / optimization,True,Machine Learning | machine learning | machine learning | ML,
P18,VVUQ / assurance,True,validation | verification | validation | validation,
P18,Glioblastoma,True,Glioblastoma | glioblastoma,
P18,Cost / efficiency,True,cost,
P18,Drug compounds / discovery / synergy,True,Drug Synergy | drug synergy | drug synergy,
P19,LLM / conversational AI,True,LLM | LLM | large language model | LLM | LLM | LLMs | LLM | LLMs | LLM,
P19,Agentic / code generation,True,FastAPI | FastAPI | FastAPI,
P19,Document retrieval / RAG,True,repository,
P19,Machine learning / optimization,True,ML | ML,
P19,VVUQ / assurance,True,validation | validation | verification | verification,
P19,MCP / API infrastructure,True,FastAPI | FastAPI | FastAPI,
P19,Clinical trials,True,Clinical Trial | clinical trial | clinical trial,
P19,Glioblastoma,True,Glioblastoma | glioblastoma | glioblastoma,
P19,Regulatory / compliance,True,FDA | ICH | regulatory | compliance | FDA | 21 CFR | ICH | GCP | regulatory | FDA | ICH,
P19,Patient matching / decision support,True,Patient Matching,
P19,Cost / efficiency,True,time | cost | time | cost | time | economic | cost | speed,
P20,LLM / conversational AI,True,LLMs | LLM | LLM | LLMs | LLMs | LLMs | LLM,
P20,Agentic / code generation,True,Code Generation,
P20,MCP / API infrastructure,True,API,
P20,Regulatory / compliance,True,FDA | FDA,
P20,Patient safety / adverse events,True,Adverse Event,
P21,Agentic / code generation,True,Agentic | github,
P21,Simulation / digital twin,True,simulation | Simulation,
P21,Physical AI / robotics,True,Physical AI | physical AI | robotic | robot | physical AI | Robot | surgical | humanoid | robot,
P21,MCP / API infrastructure,True,platform | platform,
P21,Clinical trials,True,clinical trials | Clinical Trial | Clinical trial,
P21,Regulatory / compliance,True,regulatory | compliance,
P22,Agentic / code generation,True,agentic,
P22,Document retrieval / RAG,True,RAG,
P22,Simulation / digital twin,True,simulation,
P22,Physical AI / robotics,True,Physical AI | physical AI | robotic | physical AI,
P22,Federated learning,True,Federated Learning | federated learning | federated learning,
P22,MCP / API infrastructure,True,platform | Model Context Protocol | MCP | platform,
P22,Clinical trials,True,clinical trials | clinical trial | clinical trials,
P22,Regulatory / compliance,True,Regulatory | FDA | IRB | compliance | compliance,
P22,Cost / efficiency,True,time,
P23,Document retrieval / RAG,True,retrieval,
P23,Physical AI / robotics,True,Physical AI | robotic | Physical AI,
P23,VVUQ / assurance,True,Validation,
P23,MCP / API infrastructure,True,MCP | Model Context Protocol | MCP | MCP,
P23,Clinical trials,True,Clinical Trial | clinical trials,
P23,Regulatory / compliance,True,21 CFR,
P23,Cost / efficiency,True,time,
P24,Document retrieval / RAG,True,repository,
P24,Physical AI / robotics,True,Physical AI | Physical AI | robotics | Physical AI | robotic,
P24,MCP / API infrastructure,True,MCP | MCP | Model Context Protocol | MCP | MCP,
P24,Clinical trials,True,Clinical Trial | clinical trial | trial site | clinical trials,
P24,Regulatory / compliance,True,regulatory,
P24,Patient safety / adverse events,True,safety | patient safety | safety,
P25,Physical AI / robotics,True,Physical AI | Physical AI | Physical AI | Physical AI,
P25,Clinical trials,True,Clinical Trial,
P25,Regulatory / compliance,True,ICH | ICH | Good Clinical Practice | ICH,
P26,Physical AI / robotics,True,Physical AI | Physical AI | Physical AI,
P26,Clinical trials,True,Clinical Trial | clinical trial,
P26,Regulatory / compliance,True,21 CFR | 21 CFR | regulatory | FDA,
P27,Physical AI / robotics,True,Physical AI | Physical AI | Physical AI,
P27,Clinical trials,True,Clinical Trial | clinical trial,
P27,Regulatory / compliance,True,21 CFR | 21 CFR | regulatory | FDA,
P28,Agentic / code generation,True,autonomous AI,
P28,Simulation / digital twin,True,simulation | digital twin,
P28,Physical AI / robotics,True,Physical AI | Physical AI | robot | robotic | Physical AI | surgical | robot | robotic,
P28,Federated learning,True,federated learning,
P28,Clinical trials,True,clinical trial,
P28,Regulatory / compliance,True,regulatory | 21 CFR | 21 CFR | ICH | regulatory | regulatory | FDA | regulatory,
P28,Cost / efficiency,True,cost | cost | time,
P29,Document retrieval / RAG,True,Documentation Package,
P29,Physical AI / robotics,True,Physical AI | Physical AI,
P29,Clinical trials,True,Clinical Trial | clinical trial,
P29,Legislation / policy,True,legislation,
P30,Physical AI / robotics,True,Physical AI | Physical AI,
P30,MCP / API infrastructure,True,Platform | platform,
P30,Clinical trials,True,trial sponsor,
P30,Regulatory / compliance,True,regulatory | ICH | ICH | FDA,
P31,Agentic / code generation,True,autonomous AI | agent | agent | code generation,
P31,Simulation / digital twin,True,simulation,
P31,Physical AI / robotics,True,Physical AI | Physical AI | robotics | robotic | Physical AI | robotic,
P31,Federated learning,True,federated learning,
P31,MCP / API infrastructure,True,Platform | MCP | server,
P31,Clinical trials,True,Clinical Trial | clinical trials,
P31,Regulatory / compliance,True,regulatory | compliance | regulatory | 21 CFR | 21 CFR | ICH | regulatory,
P31,Patient safety / adverse events,True,safety | safety,
P32,Agentic / code generation,True,agentic,
P32,Document retrieval / RAG,True,repository,
P32,Machine learning / optimization,True,machine learning,
P32,Simulation / digital twin,True,Simulation | Simulation | Simulation | Simulation,
P32,Physical AI / robotics,True,Physical AI | Physical AI,
P32,Clinical trials,True,Clinical Trials | clinical trial,
P32,Regulatory / compliance,True,FDA,
P32,Patient safety / adverse events,True,safety,
P32,Patient matching / decision support,True,Patient Prediction | patient prediction,
P32,Cost / efficiency,True,time,
P33,Physical AI / robotics,True,Physical AI | Physical AI,
P33,Clinical trials,True,Clinical Trials | clinical trials,
P33,Legislation / policy,True,legislative | legislation,
P34,LLM / conversational AI,True,large language model | LLM | LLM,
P34,Agentic / code generation,True,code generation,
P34,Document retrieval / RAG,True,repository,
P34,Simulation / digital twin,True,simulation | synthetic patient,
P34,Physical AI / robotics,True,Robotic | surgical | robot | surgical | robot | robotic,
P34,MCP / API infrastructure,True,platform,
P34,Clinical trials,True,Clinical Trials | clinical trial,
P34,Glioblastoma,True,Glioblastoma,
P34,Cost / efficiency,True,time | Time,
P35,LLM / conversational AI,True,LLMs | LLM,
P35,Agentic / code generation,True,repository based,
P35,Document retrieval / RAG,True,repository,
P35,Simulation / digital twin,True,Simulation | synthetic patient,
P35,Physical AI / robotics,True,Robotic | Whipple | robot | robotic | pancreaticoduodenectomy,
P35,MCP / API infrastructure,True,platform,
P35,PDAC / pancreatic cancer,True,Pancreatic Ductal Adenocarcinoma,
P35,Regulatory / compliance,True,FDA,
P35,Cost / efficiency,True,time,
P35,Drug compounds / discovery / synergy,True,Daraxonrasib | Daraxonrasib | Daraxonrasib,
P36,Agentic / code generation,True,repository based | code generation,
P36,Document retrieval / RAG,True,repository,
P36,Physical AI / robotics,True,Humanoid | humanoid | robot,
P36,Regulatory / compliance,True,FDA | compliance,
P36,Patient safety / adverse events,True,Adverse Event | adverse events | adverse events,
P36,Cost / efficiency,True,time | time,
P37,LLM / conversational AI,True,LLM,
P37,Agentic / code generation,True,code generation,
P37,Document retrieval / RAG,True,repository,
P37,Simulation / digital twin,True,in silico | simulation,
P37,Physical AI / robotics,True,Physical AI | robotic | physical AI,
